run,demand,policy,step,avg_wait_time,avg_journey_time,stair_switch_rate,elevator_utilization,avg_student_wait,avg_faculty_wait,avg_staff_wait,equity_student_faculty,equity_student_staff
1,low,FCFS,10800,27.752650176678443,50.15547703180212,0.03180212014134275,0.26571428571428574,27.558823529411764,14.555555555555555,28.393203883495147,1.8933542882801977,0.9706133778524232
2,medium,FCFS,10800,33.43639921722114,61.12720156555773,0.03522504892367906,0.3600952380952381,41.38461538461539,27.24137931034483,25.846808510638297,1.5191820837390457,1.601149920214787
3,high,FCFS,10800,40.75414012738854,73.40382165605095,0.0751592356687898,0.40476190476190477,45.08679245283019,26.22,33.09756097560975,1.7195573017860484,1.3622391234827103
4,low,Priority-based,10800,47.604026845637584,68.96308724832215,0.2684563758389262,0.1838095238095238,46.47435897435897,40.54545454545455,48.39712918660287,1.1462285845693916,0.9602709862225433
5,medium,Priority-based,10800,39.82212581344903,66.77657266811279,0.09544468546637744,0.30323809523809525,44.16814159292036,40.529411764705884,34.81592039800995,1.089779981247672,1.2686190997680753
6,high,Priority-based,10800,54.1890243902439,85.65,0.22439024390243903,0.37552380952380954,53.491743119266054,44.18518518518518,58.35294117647059,1.210626206387413,0.9166931784551643
7,low,Zone batching,10800,31.88562091503268,51.869281045751634,0.10457516339869281,0.23314285714285715,36.829268292682926,43.72727272727273,29.370892018779344,0.8422493788347447,1.2539376832387248
8,medium,Zone batching,10800,40.907725321888414,67.44206008583691,0.148068669527897,0.33180952380952383,43.041666666666664,45.6578947368421,37.223404255319146,0.9426993275696446,1.1563065637801277
9,high,Zone batching,10800,55.67657992565056,86.07063197026022,0.27757125154894674,0.29619047619047617,55.970856102003644,48.166666666666664,56.872549019607845,1.1620246941592454,0.9841453753498313
10,low,FCFS,10800,26.88372093023256,46.85049833887043,0.04983388704318937,0.2342857142857143,26.231884057971016,18.9,27.445945945945947,1.38793037343762,0.955765347262361
11,medium,FCFS,10800,35.186858316221766,63.558521560574945,0.049281314168377825,0.3580952380952381,38.71861471861472,28.666666666666668,32.442477876106196,1.3506493506493504,1.1934542998372784
12,high,FCFS,10800,40.702319587628864,73.02448453608247,0.08118556701030928,0.3852380952380952,45.266129032258064,24.671641791044777,35.117370892018776,1.83474328200925,1.288995385544247
13,low,Priority-based,10800,43.73076923076923,65.33216783216783,0.23076923076923078,0.1819047619047619,49.050632911392405,44.5,41.52820512820513,1.102261413739155,1.1811402096470138
14,medium,Priority-based,10800,44.813747228381374,69.19068736141907,0.15964523281596452,0.2866666666666667,47.587443946188344,40.57692307692308,42.2970297029703,1.1727711304273905,1.1250776775667188
15,high,Priority-based,10800,49.70611183355007,80.30819245773732,0.15734720416124837,0.41523809523809524,47.6265306122449,40.43181818181818,55.77872340425532,1.1779467942320268,0.8538476269360353
16,low,Zone batching,10800,31.01360544217687,51.3843537414966,0.06802721088435375,0.2502857142857143,38.20779220779221,50.375,26.71641791044776,0.7584673391125004,1.430124065878256
17,medium,Zone batching,10800,46.39148936170213,72.97659574468085,0.16170212765957448,0.30714285714285716,44.388888888888886,40.5,49.817708333333336,1.0960219478737996,0.8910263112040424
18,high,Zone batching,10800,51.29265091863517,83.07874015748031,0.18503937007874016,0.37133333333333335,47.81712062256809,46.60377358490566,61.728205128205126,1.0260353817798011,0.774639737592488
19,low,FCFS,10800,22.95985401459854,43.40875912408759,0.01824817518248175,0.23238095238095238,33.87671232876713,25.571428571428573,18.502673796791445,1.3247876329685468,1.8309090189246973
20,medium,FCFS,10800,35.29124236252546,63.30549898167006,0.06517311608961303,0.30857142857142855,41.00796812749004,28.463414634146343,29.487437185929647,1.4407255297575763,1.390692852312631
21,high,FCFS,10800,41.12643678160919,73.74201787994892,0.06896551724137931,0.394,44.829944547134936,28.70212765957447,33.84615384615385,1.5619031828875773,1.324521088892623
22,low,Priority-based,10800,37.93023255813954,59.25581395348837,0.19601328903654486,0.20666666666666667,46.625,41.5,34.328502415458935,1.1234939759036144,1.3582008162116521
23,medium,Priority-based,10800,42.891304347826086,70.39347826086957,0.14782608695652175,0.31047619047619046,44.02564102564103,43.275862068965516,41.48730964467005,1.0173255695168046,1.06118332094106
24,high,Priority-based,10800,49.37772397094431,81.41888619854721,0.1549636803874092,0.3904761904761905,48.64556962025316,43.297872340425535,52.43362831858407,1.1235094703449133,0.9277551674411152
25,low,Zone batching,10800,38.265573770491805,59.71475409836066,0.14426229508196722,0.22247619047619047,42.707317073170735,48.09090909090909,36.0377358490566,0.8880538521831344,1.185072149150811
26,medium,Zone batching,10800,54.439824945295406,81.81181619256017,0.3282275711159737,0.2419047619047619,49.472103004291846,51.642857142857146,60.744897959183675,0.957966033278127,0.8144240037662692
27,high,Zone batching,10800,47.66709183673469,79.33801020408163,0.17091836734693877,0.3892380952380952,48.67741935483871,42.214285714285715,46.53731343283582,1.153102996561323,1.0459868815824866
28,low,FCFS,10800,26.734006734006734,46.92929292929293,0.050505050505050504,0.24142857142857144,30.986842105263158,24.615384615384617,25.3125,1.2588404605263157,1.2241715399610136
29,medium,FCFS,10800,33.855345911949684,62.9727463312369,0.03773584905660377,0.3523809523809524,38.21030042918455,21.2,31.618090452261306,1.8023726617539881,1.208494880071158
30,high,FCFS,10800,42.06153846153846,75.08589743589744,0.08974358974358974,0.3698095238095238,46.38537549407115,26.0,36.10502283105023,1.7840529036181212,1.2847346949793323
31,low,Priority-based,10800,44.5,67.26428571428572,0.2571428571428571,0.1719047619047619,52.18181818181818,48.69230769230769,41.1,1.0716645124228061,1.269630612696306
32,medium,Priority-based,10800,48.55402298850575,75.57701149425287,0.29195402298850576,0.23904761904761904,51.611374407582936,50.170731707317074,44.666666666666664,1.0287148034569278,1.155478531513051
33,high,Priority-based,10800,55.513959390862944,86.49111675126903,0.22715736040609136,0.36047619047619045,55.55725190839695,48.583333333333336,56.949074074074076,1.1435454938263523,0.9755602318684449
